criterion_id,nct_id,section,text,scibert_b2_label,scibert_b2_prob,scibert_b3_label,scibert_b3_prob,llm_b2_label,llm_b2_confidence,llm_b3_label,llm_b3_confidence,human_b2_label,human_b3_label,review_flag
NCT02914899_26,NCT02914899,inclusion,20 pack year smoking history,1,1.0,1,1.0,1.0,0.9,1.0,0.8,,,ok
NCT03085225_31,NCT03085225,exclusion,Known history of active tuberculosis,1,0.9931,1,1.0,1.0,0.95,1.0,0.95,,,ok
NCT04300244_2,NCT04300244,inclusion,"Measurable disease, defined as at least 1 lesion (measurable) that can be accurately assessed at baseline by computed tomography (CT) or magnetic resonance imaging (MRI) and is suitable for repeated assessment (modified RECIST).",0,0.0006,1,0.9894,1.0,0.8,1.0,0.8,,,disagree
NCT00028795_24,NCT00028795,unknown,See Disease Characteristics Surgery:,1,1.0,1,0.9998,,,,,,,disagree
NCT01969877_2,NCT01969877,inclusion,"Tumor stage III and IV , but no evidence of distant metastases beyond the regional nodes in the neck",1,0.8002,1,1.0,1.0,0.8,1.0,0.8,,,ok
NCT05379205_1,NCT05379205,inclusion,"Diagnostic of nonmetastatic colon cancer (i.e., including right, transverse, left, sigmoid, subtotal, total, and hemicolectomy)",1,0.9998,1,1.0,1.0,0.8,1.0,0.85,,,ok
NCT05848141_4,NCT05848141,inclusion,absence of contraindications to exercise or study participation,0,0.0608,1,0.9969,0.0,0.95,0.0,0.8,,,disagree
NCT03131531_0,NCT03131531,inclusion,Male or female patients 18 years or older,1,1.0,1,0.9747,1.0,1.0,1.0,1.0,,,ok
NCT01543763_26,NCT01543763,inclusion,"History of cerebrovascular accident, including transient ischemic attack (TIA)",1,0.9885,1,1.0,1.0,0.95,1.0,0.95,,,ok
NCT06501079_8,NCT06501079,exclusion,Distorted anatomy of the back (e.g. kyphoscoliosis),0,0.0006,1,1.0,0.0,0.6,1.0,0.75,,,low_confidence
NCT02689427_4,NCT02689427,inclusion,AJCC 7th edition stage I-III Breast Cancer,1,1.0,1,1.0,1.0,0.95,1.0,0.95,,,ok
NCT00084773_21,NCT00084773,unknown,HIV negative,1,1.0,1,1.0,1.0,1.0,1.0,1.0,,,ok
NCT05850013_3,NCT05850013,exclusion,Children of parents/guardians/carers who are non-English speakers,1,0.9996,1,0.599,1.0,0.75,1.0,0.65,,,low_confidence
NCT04946214_4,NCT04946214,inclusion,English or Spanish speaking patients.,0,0.023,0,0.0001,1.0,0.8,1.0,0.75,,,disagree
NCT04250727_12,NCT04250727,exclusion,Uncontrolled asthma (<20 on the Asthma Control Test (ACT) or requiring steroids more than 1x per year),1,1.0,1,1.0,1.0,0.9,1.0,0.75,,,low_confidence
NCT05056844_0,NCT05056844,inclusion,Women presenting to MDACC for the evaluation of PND as the main or accompanying symptom,1,1.0,1,1.0,0.0,0.6,0.0,0.6,,,disagree
NCT06529575_1,NCT06529575,inclusion,Child is undergoing a cardiac catheterization procedure that typically involves direct arterial oxygen saturation measurement by co-oximeter from a location reflective of systemic saturation.,1,0.9972,1,1.0,0.0,0.6,0.0,0.55,,,disagree
NCT05361720_19,NCT05361720,exclusion,Anti-hypertensive medications are permitted.,1,0.9999,1,1.0,1.0,0.85,1.0,0.9,,,ok
NCT03041311_8,NCT03041311,exclusion,Limited-stage SCLC,1,0.8965,1,1.0,1.0,0.8,1.0,0.9,,,ok
NCT05714644_25,NCT05714644,exclusion,D37.4 (neoplasm of uncertain behavior of colon),1,0.8976,1,1.0,1.0,0.9,1.0,0.9,,,ok
NCT00005603_8,NCT00005603,unknown,1 to 21 Performance status:,0,0.0,1,0.9955,0.0,0.4,0.0,0.4,,,disagree
NCT04401020_9,NCT04401020,inclusion,"lymphoplasmacytic lymphoma,",1,0.9969,1,1.0,1.0,1.0,1.0,1.0,,,ok
NCT05021237_14,NCT05021237,exclusion,"Presence of brain metastases that are not amenable to treatment with radiation or surgery, or brain metastasis leading to clinical instability.",0,0.0,1,1.0,0.0,0.75,0.0,0.65,,,disagree
NCT04636905_1,NCT04636905,inclusion,"Treated for any kind of cancer at University of California, San Francisco, though finished with active treatments (defined as chemotherapy, radiation, or surgery) at time of enrollment, and without evidence of current active cancer",1,0.7248,1,1.0,1.0,0.75,1.0,0.75,,,low_confidence
NCT02311959_2,NCT02311959,inclusion,Patient without preoperative indication of adjuvant radiotherapy according to regional and / or national guidelines.,1,0.9992,1,1.0,0.0,0.7,0.0,0.65,,,disagree
NCT02171260_32,NCT02171260,exclusion,Concomitant Medications,1,0.8132,1,1.0,,,,,,,disagree
NCT04396561_8,NCT04396561,exclusion,Significant liver or renal insufficiency.,0,0.0,1,0.9998,0.0,0.95,0.0,0.7,,,disagree
NCT05036408_33,NCT05036408,exclusion,"Subjects, who are not be able to comply with the safety monitoring requirements of the study. Those who miss more than half the sessions will be considered to not have completed the program",0,0.0,0,0.0446,0.0,0.6,0.0,0.7,,,low_confidence
NCT05628922_24,NCT05628922,exclusion,Positive hepatitis B surface antigen and hepatitis B virus DNA ≥ 2500 copies/ml or Positive hepatitis C RNA;,1,1.0,1,1.0,1.0,0.95,1.0,0.95,,,ok
NCT00053846_0,NCT00053846,unknown,Diagnosis of cancer,1,1.0,1,1.0,1.0,0.85,1.0,0.95,,,ok
NCT04401722_1,NCT04401722,exclusion,"liver cirrhosis,",1,0.9616,1,1.0,1.0,0.85,1.0,0.85,,,ok
NCT06395896_0,NCT06395896,inclusion,Being a woman between the ages of 40-69,1,1.0,1,1.0,1.0,1.0,1.0,1.0,,,ok
NCT02692911_15,NCT02692911,exclusion,History of previous cholecystectomy,1,0.9989,1,1.0,1.0,1.0,1.0,1.0,,,ok
NCT06863805_1,NCT06863805,inclusion,Adult (≥18 years) male or female patients,1,1.0,1,0.9988,1.0,1.0,1.0,1.0,,,ok
NCT07018869_0,NCT07018869,inclusion,"Patient participants must have newly diagnosed surgically resected, stage II or stage III colorectal cancer per the timing described below",1,1.0,1,1.0,1.0,0.85,1.0,0.85,,,ok
NCT00506922_1,NCT00506922,inclusion,"Patients with AML, ALL, Hodgkin's disease, MDS (including CMML), CML in late chronic or accelerated phase or in blast crisis, and lymphoma in first or later relapses.",1,0.9999,1,1.0,1.0,0.85,1.0,0.85,,,ok
NCT01421017_17,NCT01421017,exclusion,Pregnancy or lactation.,0,0.4868,1,1.0,1.0,0.85,1.0,0.8,,,disagree
NCT01540058_9,NCT01540058,inclusion,"Cardiac, respiratory and neurological function compatible with the administration of cisplatin chemotherapy,",0,0.0,1,1.0,0.0,0.9,0.0,0.8,,,disagree
NCT05761171_45,NCT05761171,exclusion,Human immunodeficiency virus (HIV)-infected patients are eligible if on effective anti-retroviral therapy that does not interact with planned study agents and with undetectable viral load within 6 months of enrollment.,1,1.0,1,1.0,1.0,0.8,1.0,0.8,,,ok
NCT04712097_34,NCT04712097,exclusion,Prior allogeneic stem cell transplantation,1,0.939,1,1.0,1.0,0.95,1.0,0.95,,,ok
NCT02819609_3,NCT02819609,exclusion,"Patients with a diagnosis of gynecologic cancer (ovarian, uterine, cervical)",1,1.0,1,1.0,1.0,0.95,1.0,0.95,,,ok
NCT06898255_8,NCT06898255,exclusion,With other active diseases that lead to reduced food intake or seriously affect digestion and absorption,0,0.0002,1,1.0,0.0,0.85,0.0,0.65,,,disagree
NCT01760499_13,NCT01760499,exclusion,"Patients with severe peripheral vascular disease (i.e., claudication occurring after less than 200 meters of walking, rest pain, ischemic ulceration or gangrene)",1,0.9739,1,1.0,1.0,0.85,0.0,0.65,,,disagree
NCT06314971_5,NCT06314971,exclusion,Synchronous colorectal and non-colorectal cancer diagnosed at or before surgery.,1,0.9632,1,1.0,1.0,0.85,1.0,0.85,,,ok
NCT02086721_9,NCT02086721,inclusion,Adequate renal function: calculated creatinine clearance at least 60 ml/min;,1,0.9992,0,0.4771,1.0,1.0,1.0,1.0,,,disagree
NCT04649372_2,NCT04649372,inclusion,"Patient has already received or been considered for surgery, and / or chemo-radiation.",1,0.9983,1,1.0,0.0,0.6,0.0,0.6,,,disagree
NCT06922318_25,NCT06922318,exclusion,"Patients receiving anticoagulation therapy with warfarin, rivaroxaban, or apixaban are not eligible for study. \[Patients on enoxaparin or edoxaban are eligible for study. Patients on warfarin, rivaroxaban, or apixaban, who can be transitioned to one of these alternative agents prior to starting study treatments will be eligible\].",1,0.9294,1,1.0,1.0,0.9,1.0,0.9,,,ok
NCT02280642_5,NCT02280642,exclusion,Unable to comply with the study protocol,0,0.0001,0,0.0005,0.0,0.95,0.0,0.9,,,ok
NCT06035731_3,NCT06035731,inclusion,"Affiliated with a social security scheme,",0,0.0,1,0.7532,1.0,0.7,1.0,0.7,,,disagree
NCT03154190_3,NCT03154190,inclusion,Glioblastoma multiforme (brain) -- no stage,0,0.1819,1,1.0,1.0,0.95,1.0,0.95,,,disagree
NCT05669846_76,NCT05669846,exclusion,Concurrent active Hepatitis B (defined as HBsAg positive and/or detectable HBV DNA) and Hepatitis C virus (defined as anti-HCV Ab positive and detectable HCV RNA) infection.,1,0.9975,1,1.0,1.0,0.95,1.0,0.95,,,ok
NCT01567709_8,NCT01567709,inclusion,Cystic lesions,1,0.9999,1,1.0,1.0,0.7,1.0,0.8,,,low_confidence
NCT06867991_10,NCT06867991,exclusion,Confirmed positive hepatitis B serology (hepatitis B surface antigen and core antigen) and/or positive hepatitis C PCR at screening.,1,1.0,1,1.0,1.0,0.95,1.0,0.95,,,ok
NCT07495072_2,NCT07495072,inclusion,Candidates for intravesical BCG therapy,1,0.9812,1,1.0,0.0,0.6,0.0,0.6,,,disagree
NCT04030195_23,NCT04030195,unknown,Presence of a pleural/peritoneal/pericardial catheter.,1,1.0,1,1.0,1.0,0.95,1.0,0.95,,,ok
NCT04841928_9,NCT04841928,exclusion,"Other current pain condition (e.g., fibromyalgia)",0,0.0022,1,1.0,0.0,0.8,0.0,0.6,,,disagree
NCT02958592_0,NCT02958592,inclusion,"(i) patients with a solid focal liver lesion that was pathologically proven or diagnosed by imaging methods such as conventional US, CT or MR imaging; (ii) patients scheduled to undergo a hepatectomy; (iii) patients with a lesion ≥1.0 cm in diameter.",1,1.0,1,1.0,1.0,0.95,1.0,0.92,,,ok
NCT05239546_8,NCT05239546,inclusion,"Platelets greater than or equal to 100,000/µL",1,1.0,1,1.0,1.0,1.0,1.0,1.0,,,ok
NCT02864667_12,NCT02864667,exclusion,"Subjects who have participated in a prior breast clinical trial that gave additional radiation dose, such as an additional mammogram",1,1.0,1,1.0,1.0,0.7,1.0,0.75,,,low_confidence
NCT04067713_1,NCT04067713,inclusion,Aged 18 or over,1,1.0,1,0.9693,1.0,1.0,1.0,1.0,,,ok
NCT06830694_7,NCT06830694,inclusion,Pulmonary function: No clinically significant pleural effusion at the timepoint of screening. Pleural effusion with no significant symptom is allowed for enrollment.,0,0.0,1,0.9937,0.0,0.6,0.0,0.6,,,disagree
NCT04422457_5,NCT04422457,exclusion,Is Pregnant or ready to pregnant;,0,0.0008,1,1.0,0.0,0.6,0.0,0.7,,,disagree
NCT04580121_13,NCT04580121,exclusion,Clinical evidence or history of central nervous system (CNS) leukemia,1,0.9806,1,1.0,1.0,0.85,1.0,0.9,,,ok
NCT02337491_17,NCT02337491,exclusion,Has history of known coagulopathy that increases risk of bleeding or a history of clinically significant hemorrhage within 12 months of start of study drug,1,0.9624,1,1.0,0.0,0.65,1.0,0.8,,,disagree
NCT06598007_26,NCT06598007,exclusion,Use of any gastric acid reducing agents during the time period between 6 hours prior to and 2 hours after the administration of CT3001.,1,1.0,1,1.0,1.0,0.9,1.0,0.85,,,ok
NCT00628901_8,NCT00628901,exclusion,Presence of pedunculated serosal fibroid as the dominant fibroid(s),0,0.0011,1,1.0,1.0,0.8,1.0,0.8,,,disagree
NCT03753399_2,NCT03753399,inclusion,3.Without tumor recurrence confirmed by image examination;,1,0.9982,1,1.0,1.0,0.85,1.0,0.85,,,ok
NCT06255210_4,NCT06255210,inclusion,No distant metastasis.,0,0.4764,1,1.0,1.0,0.85,1.0,0.85,,,disagree
NCT03532139_29,NCT03532139,exclusion,"Known Asian descent (including Filipino, Chinese, Japanese, Korean, Vietnamese or Asian-Indian origin) due to altered metabolism of statins.",0,0.0332,1,1.0,1.0,0.8,1.0,0.75,,,disagree
NCT02422433_5,NCT02422433,exclusion,OR patients with esophageal strictures.,1,0.996,1,1.0,1.0,0.8,1.0,0.85,,,ok
NCT00077129_30,NCT00077129,unknown,Prior radiotherapy allowed provided there is measurable disease that has not been irradiated OR there is clear evidence of tumor progression in an irradiated site,1,0.9978,1,1.0,0.0,0.65,0.0,0.6,,,disagree
NCT01182168_16,NCT01182168,inclusion,"All patients who currently live in (or have lived in) Asia, Africa, Central and South America, Eastern Europe, Spain, Portugal, or Greece",1,1.0,0,0.2106,1.0,0.85,1.0,0.75,,,disagree
NCT02370498_5,NCT02370498,inclusion,Human epidermal growth factor receptor 2 (HER-2/neu) status known and participants with HER2/neu positive tumors show documentation of disease progression on treatment containing trastuzumab,1,1.0,1,1.0,1.0,0.85,1.0,0.85,,,ok
NCT00408902_30,NCT00408902,exclusion,"Myocardial infarction within 6 months of enrollment or New York Heart Association (NYHA) Class III or IV heart failure, uncontrolled angina, severe uncontrolled ventricular arrhythmias, or electrocardiographic evidence of acute ischemia or active conduction system abnormalities",0,0.0001,1,1.0,0.0,0.65,1.0,0.75,,,low_confidence
NCT04045795_8,NCT04045795,inclusion,Male or female: Contraceptive use by men or women,1,0.999,1,0.995,0.0,0.9,0.0,0.95,,,disagree
NCT05038839_42,NCT05038839,exclusion,Grade 2 or higher peripheral neuropathy,1,0.9958,1,1.0,1.0,0.85,1.0,0.8,,,ok
NCT01860170_14,NCT01860170,exclusion,Poor performance status (<70%),1,1.0,1,1.0,1.0,0.85,1.0,0.85,,,ok
NCT03326921_12,NCT03326921,inclusion,Chronic myelomonocytic leukemia (CMML),1,0.9888,1,1.0,1.0,1.0,1.0,1.0,,,ok
NCT05060627_11,NCT05060627,inclusion,"All prior treatment-related toxicities (defined by National Cancer Institute- Common Toxicity Criteria for Adverse Events (NCI-CTCAE), version 4.0 must be ≤ Grade 1 at the time of enrolment except for alopecia",1,1.0,1,1.0,1.0,0.9,0.0,0.7,,,disagree
NCT03976362_18,NCT03976362,exclusion,"Has interstitial lung disease, or history of pneumonitis requiring systemic steroids for treatment.",1,0.8791,1,1.0,1.0,0.85,1.0,0.85,,,ok
NCT02697383_41,NCT02697383,exclusion,"Ongoing or active systemic infection, known human immunodeficiency virus (HIV) positive, known active hepatitis B virus hepatitis, or known active hepatitis C virus hepatitis.",1,0.9767,1,1.0,1.0,0.85,1.0,0.85,,,ok
NCT04543799_21,NCT04543799,exclusion,Unhealthy sleep hygiene,0,0.0,1,0.9972,0.0,0.9,0.0,0.75,,,disagree
NCT01395628_5,NCT01395628,unknown,"AML expressing the fms-like tyrosine kinase 3 internal tandem duplication (FLT3-ITD), associated with a poor prognosis",0,0.0,1,0.924,1.0,0.85,1.0,0.9,,,disagree
NCT06444477_1,NCT06444477,inclusion,Synchronous diagnosis of ITP and cancer;,0,0.0026,1,1.0,1.0,0.8,1.0,0.75,,,disagree
NCT05458544_27,NCT05458544,exclusion,Prior systemic beta-emitting bone-seeking radioisotopes,1,0.9879,1,1.0,1.0,0.85,1.0,0.85,,,ok
NCT00101686_2,NCT00101686,inclusion,An interval of greater than five years has elapsed between the primary surgery and the development of metastatic disease.,1,0.9783,1,1.0,1.0,0.85,1.0,0.85,,,ok
NCT07179341_3,NCT07179341,exclusion,The patient had two types of primary tumors concurrently including TC.,1,0.9991,1,1.0,1.0,0.7,1.0,0.8,,,low_confidence
NCT06266026_9,NCT06266026,inclusion,"Female subjects aged 18 and above presenting for intensified aftercare after a history of breast cancer, patients with symptoms (nipple discharge, breast lump based on physician physical exam or self-breast exam), patients who were referred for additional examination (MRI, Ultrasound, fine-needle aspiration cytology (FNAC) or biopsy) based on suspicious imaging findings in either breast",1,1.0,1,1.0,1.0,0.75,1.0,0.75,,,low_confidence
NCT04554056_20,NCT04554056,exclusion,"According to the researchers, there are serious risks to the safety of patients or concomitant diseases that affect the completion of the study.",0,0.0,0,0.0,0.0,0.95,0.0,0.9,,,ok
NCT02950987_44,NCT02950987,exclusion,Patients with a contraindication to sedation or general anesthesia,0,0.0034,1,0.9996,0.0,0.65,1.0,0.75,,,low_confidence
NCT05683834_44,NCT05683834,exclusion,Documented EBV infection.,1,1.0,1,1.0,1.0,0.85,1.0,0.9,,,ok
NCT00046839_27,NCT00046839,unknown,Concurrent aspirin (325 mg/day) for cardioprotection allowed,1,1.0,1,1.0,1.0,0.85,1.0,0.85,,,ok
NCT07117851_18,NCT07117851,exclusion,"Have a risk of bleeding, or coagulation dysfunction, or are currently receiving -thrombolytic therapy;",1,0.6951,1,1.0,0.0,0.75,1.0,0.7,,,disagree
NCT01269255_19,NCT01269255,exclusion,documented inoperable peritoneal seeding disease determined by exploratory laparotomy,1,1.0,1,1.0,1.0,0.9,1.0,0.95,,,ok
NCT00326599_36,NCT00326599,unknown,Unstable angina pectoris,0,0.0,1,1.0,0.0,0.7,1.0,0.75,,,low_confidence
NCT04009876_19,NCT04009876,exclusion,Active uncontrolled infection.,0,0.0,1,1.0,0.0,0.85,0.0,0.65,,,disagree
NCT00577993_0,NCT00577993,inclusion,Previously untreated stage IV indolent B-cell lymphoma \[Amendment May 2001: eligibility restricted to follicular lymphoma\],1,1.0,1,1.0,1.0,0.85,1.0,0.85,,,ok
NCT00408902_45,NCT00408902,exclusion,Inability to comply with study and/or follow-up procedures,0,0.0004,0,0.0001,0.0,0.95,0.0,0.9,,,ok
NCT00782886_13,NCT00782886,exclusion,Patients who are currently (within the last 30 days prior to surgery) participating in another clinical trial with any investigational drug or device.,1,1.0,0,0.0004,1.0,0.8,1.0,0.75,,,disagree
NCT06910670_3,NCT06910670,unknown,"Diagnosis of colorectal cancer, must be African American and age 65 or older at time of diagnosis",1,1.0,1,1.0,1.0,1.0,1.0,0.9,,,ok
NCT01021072_1,NCT01021072,inclusion,measurable or non-measurable disease at baseline,1,0.833,1,0.9732,1.0,0.75,1.0,0.85,,,low_confidence
NCT02182687_12,NCT02182687,exclusion,Known allergy to intravenous iodinated contrast agents unresponsive to prednisone pre-treatment.,1,0.99,1,1.0,0.0,0.65,1.0,0.75,,,disagree
NCT01538563_15,NCT01538563,inclusion,All ethnic groups are eligible for this trial.,0,0.0012,1,1.0,1.0,0.9,1.0,0.9,,,disagree
NCT01733719_2,NCT01733719,inclusion,"CT scan (thorax \& top 1/3 of abdomen): negative for evidence of locally advanced or metastatic disease (done at the discretion of the multidisciplinary team, for invasive cancer only - T1m disease); PET-CT will not usually be required but may be carried out if indicated at the discretion of the multidisciplinary team.",0,0.0,1,0.9999,0.0,0.6,1.0,0.7,,,low_confidence
NCT01105312_12,NCT01105312,unknown,ER and PR positive or negative (phase I),1,1.0,1,1.0,1.0,0.85,1.0,0.95,,,ok
NCT04393363_9,NCT04393363,exclusion,Pregnancy or breastfeeding,1,0.9779,1,1.0,1.0,0.8,1.0,0.8,,,ok
NCT06172088_2,NCT06172088,exclusion,Eating disorders.,1,0.7975,1,1.0,0.0,0.6,1.0,0.75,,,disagree
NCT06326502_16,NCT06326502,exclusion,Individual who is unable to undergo contrast-enhanced CT or MRI,1,1.0,1,0.9999,0.0,0.6,0.0,0.6,,,disagree
NCT06527781_18,NCT06527781,exclusion,Undergone surgery within 3 months before screening or plan to undergo surgery during the trial;,1,1.0,1,1.0,1.0,0.8,0.0,0.75,,,disagree
NCT01108042_7,NCT01108042,inclusion,risks of anesthesia complications normal or minor increased,1,1.0,1,0.9999,0.0,0.85,0.0,0.7,,,disagree
NCT05055843_11,NCT05055843,exclusion,Claustrophobia,1,0.5904,1,1.0,0.0,0.7,1.0,0.7,,,disagree
NCT04794699_8,NCT04794699,inclusion,Recovery from acute effects of prior therapy,0,0.0027,1,1.0,0.0,0.95,0.0,0.8,,,disagree
NCT05038826_0,NCT05038826,inclusion,patient diagnosed with lung cancer and included in a clinical trial between 2017 and 2021,1,0.9999,1,1.0,1.0,0.9,1.0,0.9,,,ok
NCT00566332_13,NCT00566332,exclusion,Transformation into large B cell lymphoma,1,0.9165,1,1.0,1.0,0.85,1.0,0.85,,,ok
NCT01019356_1,NCT01019356,inclusion,Oligomenorhea (≤ 8 menstrual cycle per year) Health volunteers :,1,1.0,1,0.9999,1.0,0.95,1.0,0.75,,,low_confidence
NCT07356544_3,NCT07356544,inclusion,Enrolled in ATLAS project. Cohort 2 (HER2 mutations study population),1,1.0,1,1.0,1.0,0.8,1.0,0.75,,,low_confidence
NCT04398095_7,NCT04398095,exclusion,"Predicted unacceptable high risk of reirradiation-related toxicity, in the Investigator's judgment",0,0.0097,0,0.0,0.0,1.0,0.0,1.0,,,ok
NCT01774721_7,NCT01774721,exclusion,Any evidence of mixed histology that includes elements of small cell or carcinoid lung cancer.,1,0.8732,1,1.0,1.0,0.9,1.0,0.9,,,ok
NCT03070886_2,NCT03070886,inclusion,Baseline testosterone level obtained post-prostatectomy prior to start of androgen deprivation therapy and prior to step 1 registration,1,1.0,1,1.0,1.0,0.85,1.0,0.85,,,ok
NCT00398073_31,NCT00398073,unknown,See Disease Characteristics,1,1.0,1,0.9997,0.0,0.5,0.0,0.5,,,disagree
NCT02793544_11,NCT02793544,exclusion,"HIV-positive subjects: Acquired immunodeficiency syndrome (AIDS) related syndromes or symptoms that may pose an excessive risk for transplantation-related morbidity as determined by the Treatment Review Committee (see Appendix D). Untreatable HIV infection due to multidrug ARV resistance. Subjects with a detectable or standard viral load > 750 copies/mL should be evaluated with an HIV drug resistance test (HIV-1 genotype). The results should be included as part of the ARV review (described in Appendix D). May not be currently prescribed ritonavir, cobacistat and/or zidovudine",1,1.0,1,1.0,0.0,0.75,0.0,0.65,,,disagree
NCT00963807_15,NCT00963807,exclusion,Patients may not be receiving any other investigational agents,1,0.9999,1,1.0,1.0,0.85,1.0,0.85,,,ok
NCT06271837_2,NCT06271837,inclusion,HER2 expression.,1,0.9998,1,1.0,0.0,0.6,0.0,0.6,,,disagree
NCT02300298_4,NCT02300298,inclusion,Patients who are Eastern Cooperative Oncology Group (ECOG) performance status (PS) of 0 or 1 at screening,1,1.0,1,1.0,1.0,1.0,1.0,1.0,,,ok
NCT01410656_1,NCT01410656,inclusion,at least 18 years old,1,1.0,1,0.9999,1.0,1.0,1.0,1.0,,,ok
NCT01511913_0,NCT01511913,inclusion,Diagnosis of unresectable or metastatic melanoma,1,1.0,1,1.0,1.0,0.9,1.0,0.95,,,ok
NCT07438249_11,NCT07438249,exclusion,Intraoperative or perioperative blood transfusion,1,0.9135,1,0.9999,1.0,0.85,1.0,0.9,,,ok
NCT00573885_21,NCT00573885,exclusion,"Known allergy to green tea and/or corn starch, gelatin, or other nonmedicinal ingredients",1,0.9781,1,1.0,1.0,0.85,1.0,0.85,,,ok
NCT01399918_4,NCT01399918,inclusion,"Platelets ≥100,000/μL",1,1.0,1,1.0,1.0,1.0,1.0,1.0,,,ok
NCT05683834_25,NCT05683834,exclusion,"Allergy treatment with antigen injections, unless on a maintenance schedule of shots no more frequently than once per month.",1,0.9985,1,1.0,1.0,0.75,1.0,0.75,,,low_confidence
